Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39
  breaker_dc,$/kWh,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625
  grounding,$/kWh,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917
  scada,$/kWh,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917
  substation,$/kWh,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375
  transmission,$/kWh,31.1667,15.5833,7.7917,5.1944,19.8333,9.9167,4.9583,3.3056,16.0556,8.0278,4.0139,2.6759,14.1667,7.0833,3.5417,2.3611,13.0333,6.5167,3.2583,2.1722,12.2778,6.1389,3.0694,2.0463,11.7381,5.8690,2.9345,1.9563,11.3333,5.6667,2.8333,1.8889,11.0185,5.5093,2.7546,1.8364,10.7667,5.3833,2.6917,1.7944
  network_upgrade,$/kWh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  shipping,$/kWh,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000
installation,$/kWh,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281
  installation,$/kWh,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281
permitting,$/kWh,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
